FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_Truth_Length (cm),_AbsError_Length (cm),_SelectionMode
fish11,13.0,6105,305.25,20.0,20.0,26.678751527889027,15.773568421598622,1.3333333333333333,358.6461888509669,76.51258497968743,6960,129,429.5720555046176,252.05067368307112,820.8227291876888,26.712832980685764,0.034081452796737466,within
fish11,13.0,6107,305.35,20.0,20.0,27.068222353113683,18.88933502339588,1.3333333333333333,393.0792567311338,80.62333688386619,7254,129,428.9823152123722,252.05072576640444,826.1130409787768,26.712832980685764,0.35538937242791846,within
fish11,13.0,6108,305.4,20.0,20.0,27.068222353113683,22.199837037805462,1.3333333333333333,449.03299203640495,84.25535537966459,7715,129,428.77971115421246,252.05072576640444,835.1304369206168,26.712832980685764,0.35538937242791846,within
fish11,13.0,6110,305.5,20.0,20.0,27.26295776572601,22.394572450417797,1.3333333333333333,463.2157755024649,86.30752813389635,7908,129,428.6124151606618,252.04987941223783,838.8222945728995,26.712832980685764,0.5501247850402464,within
fish11,13.0,6111,305.55,20.0,20.0,27.26295776572601,22.97877868825478,1.3333333333333333,471.1983314372392,87.32665892370007,8096,129,428.7056270194159,252.04980128723784,842.6754283066537,26.712832980685764,0.5501247850402464,within
fish11,13.0,6153,307.65,20.0,20.0,27.45768723548517,25.31559769674956,1.2,489.41979522184295,87.26272382896174,9212,109,430.7987156492445,253.3112921467993,868.3500077960439,26.712832980685764,0.7448542547994066,within
fish11,13.0,6156,307.8,20.0,20.0,26.09453934719887,22.9787757168282,1.2,444.95638983693584,82.95902930382874,8379,109,423.907591705247,253.31111636554928,844.7987080707964,26.712832980685764,0.6182936334868927,within
fish11,13.0,6177,308.85,20.0,20.0,25.89980987743971,19.668276673845195,46.53333333333333,384.0348881304512,76.7396864474381,8064,1781,409.5764319412608,252.11674133757484,822.9731732788356,26.712832980685764,0.8130231032460529,within
fish11,13.0,6178,308.9,20.0,20.0,25.89980987743971,19.668276673845195,59.46666666666667,382.5559347743648,76.68704472371788,8047,3606,409.33333290742473,252.21686520893303,822.4901981163578,26.712832980685764,0.8130231032460529,within
fish11,13.0,6180,309.0,20.0,20.0,25.89980987743971,19.668276673845195,63.86666666666667,381.039059537353,76.47114743775923,8013,4876,409.20418799883055,250.54868151472948,820.01286951356,26.712832980685764,0.8130231032460529,within
fish11,13.0,6182,309.1,20.0,20.0,25.899803934586544,19.66827370241861,63.86666666666667,377.6829730754645,76.10216536490252,7943,4312,409.2007470363853,250.691725158649,818.7524721950343,26.712832980685764,0.8130290460992207,within
fish11,13.0,6184,309.2,20.0,20.0,25.89980987743971,19.668276673845195,63.86666666666667,351.66856276071286,74.29445245609733,7662,4812,408.9859254964192,250.7148043666841,812.9407298631032,26.712832980685764,0.8130231032460529,within
fish11,13.0,6185,309.25,20.0,20.0,25.89980987743971,19.668276673845195,63.86666666666667,342.90860826697,73.98193935082965,7688,4970,409.1672147307031,250.40212539646373,813.3293401271668,26.712832980685764,0.8130231032460529,within
fish11,13.0,6186,309.3,20.0,20.0,25.89980987743971,19.278805848620536,62.8,340.38680318543794,73.50295689975873,7449,4258,408.96687186414937,250.8546190409236,808.801490905073,26.712832980685764,0.8130231032460529,within
fish11,13.0,6211,310.55,20.0,20.0,26.09453934719887,15.18935921233505,60.53333333333333,300.1896094046264,68.60539554146432,6646,230,426.8391419361067,243.53796860741505,803.2971105435217,26.712832980685764,0.6182936334868927,within
fish11,13.0,6307,315.35,20.0,20.0,27.570247845915585,13.383936762712224,4.266666666666667,267.6336746302616,67.44115353264387,2996,484,414.5974338731366,247.1055826661745,721.623016539311,26.712832980685764,0.8574148652298206,within
fish11,13.0,6309,315.45,20.0,20.0,27.24408029263754,14.15759670240839,15.733333333333333,280.9252938945771,66.20433654200657,2864,4121,414.2996822060479,247.16996407588323,718.7496462819311,26.712832980685764,0.5312473119517769,within
fish11,13.0,6311,315.55,20.0,20.0,26.678751527889027,13.436743470250676,27.866666666666667,265.66173682214634,64.6825040277104,2576,8429,414.100971453556,247.2181965813532,712.8391680349091,26.712832980685764,0.034081452796737466,within
fish12,15.28,3057,152.85,20.0,20.0,17.87669810067746,13.062685434717489,16.8,188.452787258248,52.22575368951128,2684,2378,410.804252405162,253.2186262883504,717.7028786935123,18.82326492608762,0.9465668254101622,within
fish12,15.28,3294,164.7,20.0,20.0,18.996451980324316,12.8596894562015,17.733333333333334,193.49639742131205,53.366522589031234,2773,2640,418.0369126790176,259.3288248377376,732.8257375167552,18.82326492608762,0.17318705423669556,within
fish12,15.28,3493,174.65,20.0,20.0,19.597140721423028,3.171291421803471,2.2666666666666666,55.57451649601819,43.60022331387872,599,436,402.0069137089294,252.82182912084792,666.8087428297773,18.82326492608762,0.7738757953354067,within
fish12,15.28,3507,175.35,20.0,20.0,19.557987719038287,3.534393436092941,28.933333333333334,58.02047781569965,43.56773194810991,627,548,414.13843679101257,250.30123696691717,676.9796737579297,18.82326492608762,0.7347227929506666,within
fish12,15.28,3515,175.75,20.0,20.0,19.75771512831182,3.7189505983699287,28.933333333333334,61.79370496776639,44.17512907936471,652,534,413.90228230605896,250.30259437127648,677.2448766773354,18.82326492608762,0.9344502022241983,within
fish12,15.28,3519,175.95,20.0,20.0,19.56304360137105,3.7189505983699287,28.933333333333334,61.35760333712551,43.87940996643613,642,534,413.79450018082616,250.30051754835972,676.9350177291859,18.82326492608762,0.7397786752834286,within
fish12,15.28,3530,176.5,20.0,20.0,19.687665232306124,3.57957546301672,1.7333333333333334,59.897610921501695,43.8776932247272,626,341,414.5535019024696,253.96888669225905,681.0423885947285,18.82326492608762,0.8644003062185028,within
fish12,15.28,3540,177.0,20.0,20.0,19.561984287793837,3.7237149094691295,1.7333333333333334,61.58513462267727,43.98992307823597,631,336,414.7128725694445,254.0247623400264,681.3576349094709,18.82326492608762,0.7387193617062167,within
fish12,15.28,3543,177.15,20.0,20.0,19.561984287793837,3.7237149094691295,1.7333333333333334,61.56617368221463,43.95523183536707,633,336,414.66267291666674,254.02566077752644,681.3483336941931,18.82326492608762,0.7387193617062167,within
fish12,15.28,3548,177.4,20.0,20.0,19.56304360137105,3.534393436092941,33.46666666666667,61.20591581342433,44.1218982703242,611,1323,415.33625305701366,254.5259146837764,682.08216774079,18.82326492608762,0.7397786752834286,within
fish12,15.28,3565,178.25,20.0,20.0,19.7294940043298,3.525002613802373,33.46666666666667,59.80280621918846,44.02042686140557,618,1323,415.54479901432,254.41472327752635,682.3195222918464,18.82326492608762,0.9062290782421805,within
fish12,15.28,3568,178.4,20.0,20.0,19.56639685627115,3.535525178193142,60.13333333333333,59.63215775502464,43.80469082176765,633,1385,415.5599682951563,251.8922623400264,680.1122306351826,18.82326492608762,0.7431319301835302,within
fish12,15.28,3573,178.65,20.0,20.0,19.564132629214104,3.534761521561041,60.13333333333333,59.499431171786114,43.79610293465434,631,1403,415.4012746066624,251.81709306919308,679.8383676758555,18.82326492608762,0.740867703126483,within
fish12,15.28,3586,179.3,20.0,20.0,19.602823574765026,3.3534803570929697,33.46666666666667,57.79294653014789,43.74252885620056,621,1295,414.4986313878754,253.75842119419303,680.6770525820684,18.82326492608762,0.7795586486774049,within
fish12,15.28,3592,179.6,20.0,20.0,19.5590098897832,3.529638410701815,33.46666666666667,59.27189988623434,43.651278435088685,646,1295,414.6292521592883,253.81697588169308,681.3662280409814,18.82326492608762,0.7357449636955806,within
fish12,15.28,3599,179.95,20.0,20.0,19.564520400383323,3.5257807561390715,33.46666666666667,59.78384527872581,43.44358834542654,636,762,420.3142960599922,253.3704719754432,686.4047680354354,18.82326492608762,0.741255474295702,within
fish12,15.28,3601,180.05,20.0,20.0,19.564520400383323,3.5257807561390715,33.46666666666667,59.78384527872581,43.44358834542654,642,762,420.0027075183255,253.3704329129432,686.2131404312687,18.82326492608762,0.741255474295702,within
fish12,15.28,3610,180.5,20.0,20.0,19.75802415667656,3.5309220669861245,33.46666666666667,58.87372013651876,43.6271346423082,655,762,413.0527858479818,252.8123469754432,678.965132823425,18.82326492608762,0.9347592305889378,within
fish12,15.28,3614,180.7,20.0,20.0,19.79561716010468,3.355685898474981,33.46666666666667,58.94956389836935,43.74446889597443,652,762,412.97703937325184,252.81305661085975,678.8300959841116,18.82326492608762,0.972352234017059,within
fish12,15.28,3626,181.3,20.0,20.0,19.787621051166997,3.1531189196720644,33.46666666666667,53.7163443306788,43.26111566211254,604,762,422.1852640552473,251.3680305691931,685.6332946244405,18.82326492608762,0.9643561250793766,within
fish12,15.28,3628,181.4,20.0,20.0,19.787621051166997,3.1531189196720644,33.46666666666667,53.69738339021615,43.2534874529288,616,762,422.2111190972222,251.36868812127645,685.8998072184987,18.82326492608762,0.9643561250793766,within
fish12,15.28,3637,181.85,20.0,20.0,19.59304906701679,3.1531189196720644,33.46666666666667,53.28024270003791,42.93858016711955,598,762,421.95768604176834,251.36923499627645,685.2869210380449,18.82326492608762,0.7697841409291684,within
fish12,15.28,3648,182.4,20.0,20.0,19.610387341134725,3.009109287418545,1.7333333333333334,51.74440652256351,42.80345800213611,580,327,423.7569871235412,254.4590917807579,689.8160789042992,18.82326492608762,0.7871224150471043,within
fish12,15.28,3649,182.45,20.0,20.0,19.610387341134725,3.009109287418545,1.7333333333333334,51.74440652256351,42.80345800213611,580,327,423.7523603874301,254.4842610515912,689.8366214390213,18.82326492608762,0.7871224150471043,within
fish12,15.28,3661,183.05,20.0,20.0,19.68286489265959,3.2824257474735408,1.7333333333333334,53.92491467576791,42.95008650585234,588,331,423.2907327758601,254.54032226383424,689.5910550396943,18.82326492608762,0.8595999665719702,within
fish12,15.28,3666,183.3,20.0,20.0,19.620622420003485,3.162635284735809,1.7333333333333334,52.957906712172914,42.97797318184376,583,331,432.9508759975857,254.52810221175096,699.1389782093366,18.82326492608762,0.7973574939158645,within
fish12,15.28,3675,183.75,20.0,20.0,19.627193729894117,3.1865831258616404,1.7333333333333334,53.14751611679939,43.01545252820503,588,331,432.9891615953045,253.40733398258425,698.1564955778888,18.82326492608762,0.803928803806496,within
fish12,15.28,3682,184.1,20.0,20.0,19.517638717453465,3.50489942724798,33.46666666666667,55.66932119833143,43.09119070969195,590,798,432.8413751369711,254.0343424146865,698.6757175516576,18.82326492608762,0.6943737913658445,within
fish12,15.28,3683,184.15,20.0,20.0,19.642122177052386,3.352644271937882,33.46666666666667,54.39893818733408,43.08419745722639,586,820,432.8428161091935,254.03601559176977,698.5988317009633,18.82326492608762,0.8188572509647649,within
