FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_SelectionMode
fish1+3+4+5,238.0,6180,309.0,20.0,20.0,101.06767914579858,69.91001312782599,30.133333333333333,6077.038301099734,294.22319638445094,77840,6172,487.3287486469787,241.71506821923785,2285.8438168662165,available
fish1+3+4+5,238.0,6469,323.45,20.0,20.0,110.99918518902732,69.91001312782599,37.46666666666667,5730.773606370875,311.6751246674413,85480,19988,444.9267296862944,232.58152991468648,2387.108259600981,available
fish1+3+4+5,238.0,6512,325.6,20.0,20.0,124.435928659278,69.91001312782599,55.06666666666666,7376.147136897989,341.98186599382325,63017,100463,434.0173044677735,238.71596016514027,1933.0732646329136,available
fish1+3+4+5,238.0,6652,332.6,20.0,20.0,89.95932177539714,70.17687694933956,38.66666666666666,5060.0682593856645,279.0543573101771,22416,2236,449.1681246412489,246.48165686898764,1143.9697815102363,available
fish1+3+4+5,238.0,6871,343.55,20.0,20.0,97.246151187464,53.267272716126776,30.53333333333333,3040.7281001137653,252.93425050865,11357,326,445.2052727211846,242.77303710885573,915.1183098300404,available
fish1+3+4+5,238.0,7084,354.2,20.0,20.0,100.2311631338567,49.50850128724734,32.666666666666664,2932.6507394766777,247.885025680364,11245,2105,437.65029149184994,245.0040299463909,907.5543214382408,available
fish1+3+4+5,238.0,7122,356.1,20.0,20.0,95.54245404123284,50.73982480655883,32.13333333333333,2933.996966249525,244.9546906063304,12020,1470,454.40112352835575,245.39319985367456,940.1943233820303,available
fish1+3+4+5,238.0,7397,369.85,20.0,20.0,105.31520270492896,31.473383063954525,4.533333333333333,1894.728858551384,230.87699410226804,8158,1452,458.94782741970494,243.8351854964256,865.9430129161304,available
fish1+3+4+5,238.0,7427,371.35,20.0,20.0,105.21436437237264,32.67769334419041,4.133333333333333,1974.4785741372768,232.1380802659591,9302,1359,456.7414745912152,242.6519172672589,885.4333918584741,available
fish1+3+4+5,238.0,7644,382.2,20.0,20.0,99.49648979665656,42.998922783903474,32.93333333333333,2386.8031854379974,237.3824148137499,9182,1664,434.7937566041546,240.8998599565188,859.3336165606734,available
fish1+3+4+5+15,247.61,85,4.25,20.0,20.0,79.45988696915882,71.33654748800325,33.333333333333336,3867.2165339400826,250.5628542393529,16635,22005,437.1009244474999,248.9393554672241,1018.740279914724,available
fish1+3+4+5+15,247.61,92,4.6,20.0,20.0,79.20508713957649,71.15054212669486,33.333333333333336,3916.780432309442,251.649451919747,16142,23930,424.62446555565725,246.0268131509463,993.4912787066036,available
fish1+3+4+5+15,247.61,248,12.4,20.0,20.0,102.14640208145956,39.42562780240047,6.0,3169.8141827834656,247.68389450417217,10387,2013,440.1640562186347,246.52004231761288,894.4240985362476,available
fish1+3+4+5+15,247.61,350,17.5,20.0,20.0,102.34492903439316,39.35321116512058,8.8,3161.0163064087974,248.50684384125927,10266,3434,431.1136091335721,238.8677278359308,875.3013369695029,available
fish1+3+4+5+15,247.61,448,22.4,20.0,20.0,99.80328959145976,57.932590738680986,10.133333333333333,4413.139931740614,266.97281023710235,11659,5873,447.57745132014895,241.7207584626833,922.4782097828322,available
fish1+3+4+5+15,247.61,550,27.5,20.0,20.0,104.04482275459672,43.14870051229912,4.266666666666667,3828.4982935153575,259.9393965966149,18707,839,427.3281393770948,239.58235673518703,1041.050496112282,available
fish1+3+4+5+15,247.61,562,28.1,20.0,20.0,105.6872015418394,43.20280424754151,4.133333333333333,3897.5350777398553,261.3459822612059,21297,860,418.5494476905917,239.55418616227044,1084.043633852862,available
fish1+3+4+5+15,247.61,724,36.2,20.0,20.0,96.74059861130682,61.04383482921732,3.6,3602.9958285930975,255.01447608340487,18824,1997,448.39813673756913,236.30527343682184,1061.183410174391,available
fish1+3+4+5+15,247.61,754,37.7,20.0,20.0,76.92047609616348,69.91000124211965,4.266666666666667,3959.783845278725,252.12078858843165,52402,1971,441.7924545346673,236.97626952514645,1726.8087240598138,available
fish1+3+4+5+15,247.61,888,44.4,20.0,20.0,124.43590488786532,69.91000124211965,63.86666666666667,6950.455062571103,335.46837312345457,65797,7662,432.28801012362254,232.0810188796892,1980.309029003312,available
fish1+3+4+5+15,247.61,947,47.35,20.0,20.0,113.72548096559994,69.91001312782599,63.86666666666667,6630.128934395145,318.49096109809363,34680,52575,445.83725636572194,237.34336912908552,1376.7806254948075,available
fish1+3+4+5+15,247.61,1105,55.25,20.0,20.0,99.1855300046357,63.35804128140747,6.933333333333334,4684.39514599924,276.5141951073272,26997,3627,419.49549305073305,240.93811834203933,1200.3736113927723,available
fish1+3+4+5+15,247.61,1167,58.35,20.0,20.0,99.70453125751229,67.57318817647804,33.46666666666667,6110.485400075842,300.6271397905895,40343,12897,423.9714712482028,242.43542640888424,1473.2668976570872,available
fish1+3+4+5+15,247.61,1236,61.8,20.0,20.0,94.25193970436708,69.91001312782599,63.86666666666667,5931.759575274933,296.3463073751657,32708,171353,414.9236518789033,232.59768551482105,1301.6813373937243,available
fish1+3+4+5+15,247.61,1359,67.95,20.0,20.0,100.04732691395466,50.58926856439816,9.066666666666666,3864.0121350018953,261.28022593732857,12564,4586,459.05143127772953,250.76866861418617,961.1000998919156,available
